Ticket_ID,Agent_ID,Priority,Issue_Type,Tickets_Assigned,Tickets_Resolved,Avg_Resolution_Time_hrs,SLA_Target_hrs,SLA_Met,Customer_Satisfaction,Reopened_Tickets
T001,A101,High,Network,18,15,6.5,6,No,3.0,2
T002,A102,Medium,Software,14,14,4.2,6,Yes,4.0,0
T003,A103,Critical,Security,10,7,9.1,4,NO,2.0,3
T004,A101,Low,Hardware,20,19,3.1,8,Yes,5.0,0
T005,A104,High,Database,16,12,7.8,6,No,3.0,1
T006,A102,Medium,Software,15,15,3.9,6,YES,4.0,0
T007,A105,High,Network,12,10,6.2,6,n,3.0,1
T008,A103,Critical,Security,9,6,10.4,4,No,1.0,4
T009,A104,Medium,Hardware,17,16,,8,Yes,4.0,0
T010,A101,High,Database,19,17,6.0,6,Yes,4.0,1
T011,A105,Low,Software,22,22,2.9,8,Yes,5.0,0
T012,A102,High,Network,13,11,6.7,6,No,,1
T013,A103,Medium,Hardwre,15,13,5.6,8,Yes,4.0,1
T014,A104,Critical,Security,8,5,11.2,4,No,2.0,3
T015,A105,Medium,Database,14,14,4.1,6,Yes,4.0,0
T016,A101,Low,Software,23,23,2.7,8,Yes,5.0,0
T017,A102,High,Network,12,10,6.9,6,No,3.0,2
T018,A103,High,Database,11,8,-8.4,6,No,2.0,2
T019,A104,Medium,Software,16,15,4.5,6,Yes,4.0,0
T020,A105,Critical,Security,9,7,9.8,4,No,2.0,3
T021,A101,Medium,Hardware,18,17,4.9,8,Yes,4.0,0
T022,A102,Low,Software,24,24,0.0,8,Yes,5.0,0
T023,A103,High,Network,13,9,7.5,6,No,3.0,2
T024,A104,Medium,Database,15,14,4.3,6,Yes,4.0,0
T025,A105,Low,Hardware,21,21,3.0,8,Yes,5.0,0
T025,A105,Low,Hardware,21,21,3.0,8,Yes,5.0,0
